study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;coworker;z;zexp;nnew;znew;znewexp;vz;newvz;vr
Bruk-Lee & Spector (2006);Bruk-Lee;Spector;;;;;;2006;121;0.3;coworker;0.309519604;0.309519604;121;0.298566;0.298566;0.008474576;0.008474576;0.006900833
de Jonge & Peeters (2009);de Jonge;Peeters;;;;;;2009;54;0.46;coworker;0.497311288;0.497311288;54;0.497311;0.497311;0.019607843;0.019607843;0.011727822
Ferris (2007), exp 1;Ferris;;;;;;;2007;191;0.42;coworker;0.447692024;0.447692024;191;0.447692;0.447692;0.005319149;0.005319149;0.003570089
Ferris (2008), exp 1;Ferris;;;;;;;2008;164;0.55;coworker;0.618381314;0.618381314;164;0.618381314;0.618381314;0.00621118;0.00621118;0.002984701
Fox et al. (2007);Fox;Spector;;;;;;2007;132;0.3;coworker;0.309519604;0.309519604;132;0.30952;0.30952;0.007751938;0.007751938;0.006321374
Goh (2007);Goh;;;;;;;2007;146;0.42;coworker;0.447692024;0.447692024;147;0.447692;0.447692;0.006993007;0.006944444;0.004678048
Hung et al. (2009);Hung;Chi;Lu;;;;;2009;184;0.24;supervisor;0.244774113;0.244774113;184;0.234189;0.234189;0.005524862;0.005524862;0.004853103
Jones (2004);Jones;;;;;;;2004;173;0.16;coworker;0.161386696;0.161386696;173;0.161386696;0.161386696;0.005882353;0.005882353;0.005520089
Judge et al. (2006a);Judge;LePine;Rich;;;;;2006;131;0.2;supervisor;0.202732554;0.202732554;131;0.202733;0.202733;0.0078125;0.0078125;0.007089231
Kessler et al. (2009);Kessler;Singla;Galperin;Spector;;;;2009;96;0.72;supervisor;0.907644983;0.907644983;96;0.907644983;0.907644983;0.010752688;0.010752688;0.002441459
Kidwell & Bennett (2001);Kidwell;Bennett;;;;;;2001;556;0.15;supervisor;0.151140436;0.151140436;556;0.155235;0.155235;0.001808318;0.001808318;0.001721633
Lee (2000);Lee;;;;;;;2000;146;0.33;coworker;0.342828254;0.342828254;146;0.342828254;0.342828254;0.006993007;0.006993007;0.00547627
Mount et al. (2006);Mount;Ilies;Johnson;;;;;2006;141;0.38;supervisor;0.40005965;0.40005965;141;0.359757;0.359757;0.007246377;0.007246377;0.005228938
OBrien & Allen (2007);Obrien;Allen;;;;;;2007;207;0.36;supervisor;0.376885901;0.376885901;207;0.376885901;0.376885901;0.004901961;0.004901961;0.003677651
OBrien & Loch (2005);Obrien;Loch;;;;;;2005;176;0.22;coworker;0.223656109;0.223656109;176;0.223656109;0.223656109;0.005780347;0.005780347;0.005174529
Penney & Spector (2005);Penney;Spector;;;;;;2005;155;0.24;coworker;0.244774113;0.244774113;155;0.244774;0.244774;0.006578947;0.006578947;0.005766998
Richards & Schat (2011);Richards;Schat;;;;;;2011;153;0.72;supervisor;0.907644983;0.907644983;153;0.907644983;0.907644983;0.006666667;0.006666667;0.001525912
Rotundo (2006);Rotundo;;;;;;;2006;30;0.17;supervisor;0.171666664;0.171666664;30;0.171666664;0.171666664;0.037037037;0.037037037;0.032518456
Spector et al. (2010), exp 1;Spector;Bauer;Fox;;;;;2010;119;0.48;supervisor;0.522984278;0.522984278;140;0.522984;0.522984;0.00862069;0.00729927;0.005019357
Spector et al. (2010), exp 2;Spector;Bauer;Fox;;;;;2010;140;0.42;supervisor;0.447692024;0.447692024;119;0.447692;0.447692;0.00729927;0.00862069;0.004879978
Tubre  et al. (2006);Tubre;Arthur;Bennett;;;;;2006;287;0.14;supervisor;0.140925576;0.140925576;287;0.140925576;0.140925576;0.003521127;0.003521127;0.003360784
